T0,T30,T60,T90,T120
-2.956,-25.44,31.97,-30.94,36.61
-0.426,-0.26,0.13,-0.1,-0.52
0.223,0.24,-0.02,0.76,-0.29
1.43,76.0,-55.39,50.78,-25.77
0.722,34.92,-40.07,30.33,0.61
-0.141,0.78,17.04,-14.72,4.38
-0.301,0.07,0.06,-0.65,0.53
1.24,0.43,1.31,1.73,-0.122
1.139,-4.65,13.28,-2.84,-5.26
2.2,0.85,1.67,-0.76,-4.22
0.529,-17.33,32.85,-0.12,-4.59
-2.008,0.31,-1.59,10.42,-3.45
0.241,-9.09,32.27,-25.75,-13.7
-0.77,2.48,-12.35,19.9,-17.88
1.1,49.45,-3.83,20.67,-13.7
3.515,-1.61,9.24,-8.25,-1.68
-0.449,4.76,-8.78,10.62,-3.62
0.013,23.8,-25.25,6.59,8.21
1.449,0.32,1.3,-2.18,0.1
1.25,5.29,-13.0,22.19,-8.828
-0.118,-4.5,11.61,-5.54,-2.83
1.987,-2.46,22.55,-15.28,-20.48
2.898,-29.57,54.2,-56.94,44.47
-0.573,2.56,-1.4,-2.06,2.75
0.094,-0.00999999999999,-0.28,0.34,-0.17
1.531,1.37,11.23,-29.36,13.71
0.285,0.31,-0.32,-0.3,0.84
-0.1,0.36,-1.63,0.65,0.52
1.283,-12.58,16.86,-13.59,2.96
0.11,0.95,-1.19,1.6,0.12
-0.668,10.6,16.84,-2.17,-19.98
1.287,-8.24,2.82,-1.36,9.65
-0.005,-0.00999999999999,-0.03,-0.04,-0.00999999999999
0.897,2.49,-8.43,10.35,-9.43
0.22,-11.46,22.57,-15.97,-10.41
-3.092,59.54,-64.25,43.83,-19.22
-1.736,0.14,-0.71,1.08,0.39
-1.651,42.95,-25.49,31.29,-23.73
0.037,3.65,-5.54,5.62,-1.95
-0.429,-19.94,-4.74,16.44,-16.57
-0.045,-3.45,4.69,-4.76,4.88
-0.698,0.24,1.66,-4.47,-0.4
1.4,-16.1,-40.16,23.13,9.17
-1.569,11.15,-40.23,6.8,19.05
-1.135,-2.04,2.23,-0.63,4.301
1.849,-6.96,4.22,5.17,-5.36
0.809,1.48,-3.2,2.26,-0.38
-0.368,0.12,0.85,0.93,1.01
2.494,2.741,-4.85,-1.07,0.62
-1.2,6.68,-10.33,14.084,1.94
-1.126,0.66,-1.6,1.97,-1.12
-1.53,18.34,-4.5,-13.11,10.01
-0.186,-2.075,-6.83,15.93,-17.304
0.093,-11.4,17.59,-11.81,-11.19
2.543,-5.14,5.38,0.39,-2.47
-0.003,6.31,-0.48,-25.88,22.01
-0.021,9.4,-13.15,11.23,-10.32
0.453,2.65,-0.801,-3.36,2.594
0.031,-20.02,7.73,-1.3,13.77
-2.615,2.64,-3.09,8.63,-5.19
-1.957,-9.16,43.141,-24.59,-12.05
0.261,-0.61,-0.89,1.57,0.83
0.316,-0.00999999999999,-0.15,0.03,-0.18
0.821,-0.13,-0.08,0.12,-0.52
-1.8,17.37,-20.47,14.38,-0.27
0.265,15.77,-25.83,2.9,18.99
1.867,0.55,0.13,-1.64,-5.12
0.203,-0.24,0.36,0.0,-0.02
-2.2,0.48,8.13,-9.35,4.64
-0.405,0.43,-0.84,1.2,-0.59
-0.221,0.00999999999999,-0.04,0.0,0.07
0.246,1.13,3.76,-7.27,4.4
